,Unnamed: 0.1,Unnamed: 0,PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl
1,3,3,000Zo,4r3/1k6/pp3r2/1b2P2p/3R1p2/P1R2P2/1P4PP/6K1 w - - 0 35,e5f6 e8e1 g1f2 e1f1,1652,149,100,23,endgame mate mateIn2 short,https://lichess.org/n8Ff742v#69
2,4,4,000mr,5r1k/5rp1/p7/1b2B2p/1P1P1Pq1/2R1Q3/P3p1P1/2R3K1 w - - 0 41,e3g3 f7f4 e5f4 f8f4,1478,279,100,10,crushing middlegame short,https://lichess.org/8sVpuwso#81
3,5,5,000rO,3R4/8/K7/pB2b3/1p6/1P2k3/3p4/8 w - - 4 58,a6a5 e5c7 a5b4 c7d8,1039,80,85,61,crushing endgame fork short,https://lichess.org/tzeeBEc2#115
4,8,8,001Wz,4r1k1/5ppp/r1p5/p1n1RP2/8/2P2N1P/2P3P1/3R2K1 b - - 0 21,e8e5 d1d8 e5e8 d8e8,1128,81,87,62,backRankMate endgame mate mateIn2 short,https://lichess.org/84RH3LaP/black#42
7,11,11,001om,5r1k/pp4pp/5p2/1BbQp1r1/6K1/7P/1PP3P1/3R3R w - - 2 26,g4h4 c5f2 g2g3 f2g3,991,78,89,216,mate mateIn2 middlegame short,https://lichess.org/VWOIWtIh#51
8,15,15,002Cw,r7/2p2r1k/p2p1q1p/Pp1P4/1P2P3/2PQ4/6R1/R5K1 b - - 2 28,f7g7 e4e5 f6g6 g2g6,998,76,96,1069,crushing discoveredAttack endgame short,https://lichess.org/lxiSa85s/black#56
9,16,16,2.00E+04,8/8/kpq5/p4pQp/P7/7P/3r2P1/4R2K b - - 10 48,c6a4 g5d2,974,92,33,42,crushing endgame hangingPiece oneMove,https://lichess.org/JwMca3Nw/black#96
10,18,18,002VP,8/6p1/2B1bn2/6k1/3B4/6K1/4P3/8 b - - 4 44,e6d5 d4f6 g5f5 c6d5,1410,80,69,127,crushing endgame short,https://lichess.org/7yJGEbUK/black#88
14,25,25,003Tx,2r5/pR5p/5p1k/4p3/4r3/B4nPP/PP3P2/1K2R3 w - - 0 27,e1e4 f3d2 b1a1 c8c1,1648,84,85,569,backRankMate endgame fork mate mateIn2 short,https://lichess.org/A7j9VEC0#53
36,73,73,007gO,2r3rk/5p2/4p2p/4q3/1Q6/8/1P3PPP/R4RK1 w - - 0 31,a1c1 e5g5 g2g3 c8c1,2177,86,76,43,crushing endgame short,https://lichess.org/id1brvZc#61
37,76,76,008GK,1k1r4/ppp3p1/8/1P5p/8/P3n2P/2P1r1P1/B3NRK1 b - - 4 31,d8d1 f1f8 d1d8 f8d8,600,84,97,1048,backRankMate endgame mate mateIn2 short,https://lichess.org/9vFFDYsH/black#62
38,81,81,008lc,7k/pb1qn2n/1p2R2Q/2p2p2/2Pp4/3B4/PP3PrP/4RK2 b - - 1 27,g2g7 h6g7 h8g7 e6e7 d7e7 e1e7,1831,76,93,1026,attraction crushing exposedKing fork long middlegame,https://lichess.org/UdZXrVA5/black#54
43,89,89,009L0,6k1/pb2r1pN/1n4Bp/3p4/1P2pR2/P7/3R1PPP/2r3K1 w - - 2 30,d2d1 c1d1,706,146,18,18,backRankMate hangingPiece mate mateIn1 middlegame oneMove,https://lichess.org/SAhQtou2#59
45,98,98,00AB1,8/7Q/3p1kp1/1p6/2b5/2P4P/5PPK/4q3 b - - 8 36,e1c3 h7h8 f6e6 h8c3,1058,76,95,7006,crushing endgame short skewer,https://lichess.org/KQDr21Ph/black#72
48,104,104,00AhO,r1b2rk1/2q2p1p/1p2pbp1/pP6/2P1Q3/P2B1N2/5PPP/3R1RK1 w - - 0 20,e4a8 c8b7 a8a7 f8a8 a7a8 b7a8,1296,84,87,71,advantage clearance long middlegame trappedPiece,https://lichess.org/9PjjgfVE#39
49,106,106,00AuR,8/4bkp1/R6P/4p3/Pp2P3/1P1rB3/6P1/6K1 b - - 0 33,d3e3 h6h7 e3e1 g1h2,1662,84,83,30,advancedPawn crushing endgame short,https://lichess.org/NQjprK7P/black#66
54,118,118,00CMj,7R/8/8/6p1/2p1p1k1/2PbK2p/P7/8 w - - 4 71,e3f2 e4e3 f2e3 g4g3,1573,75,97,11685,crushing defensiveMove endgame master short,https://lichess.org/JJZ8AIxT#141
56,121,121,00Cs4,2r1q1k1/8/b2b1r1p/Pp1pNpp1/3Pn3/1RPQ3P/P1B1NPP1/4R1K1 w - - 3 28,a2a4 b5a4 d3a6 a4b3,1388,86,85,63,advantage middlegame short,https://lichess.org/fswqBBFw#55
58,123,123,00D12,8/6pp/8/3kP3/1p1P2P1/rPpK3P/4R3/8 b - - 1 39,a3b3 e5e6 c3c2 d3c2 b3c3 c2d2,2280,83,89,1029,crushing endgame long rookEndgame,https://lichess.org/iC0vC5to/black#78
61,130,130,00Dt6,5rk1/p4p1p/4p1p1/5nq1/8/5QPP/5PK1/2RR4 w - - 6 35,c1b1 f5h4 g2f1 h4f3,1174,79,67,44,crushing endgame pin short,https://lichess.org/TTZUVvIZ#69
62,131,131,00Dw8,8/2p1N1p1/3r3p/6k1/3p4/6P1/6KP/3R4 w - - 0 42,h2h4 g5f6,1858,152,100,9,defensiveMove endgame equality oneMove,https://lichess.org/dlF3OKdi#83
63,132,132,00E4Z,1r4k1/p4p1p/6p1/3rb3/K7/2PpB3/1P1R1PPP/7R w - - 1 25,h1d1 d5d6 b2b4 e5c3 e3c5 d6a6,2302,81,84,158,advantage endgame long master masterVsMaster quietMove,https://lichess.org/YRE2uOtG#49
66,142,142,00F2o,6k1/4qpp1/3p3p/8/2BP4/1Pn5/2Qn1PPP/6K1 w - - 0 29,c2c3 e7e1 c4f1 e1f1,994,75,100,90,endgame mate mateIn2 short,https://lichess.org/Xik1cEk4#57
67,143,143,00F3S,3r1rk1/5ppp/p5q1/1p1P4/2PpP3/P6Q/B4PPP/2R3K1 b - - 0 29,g6e4 a2b1 e4b1 c1b1,1500,500,100,0,crushing endgame short,https://lichess.org/kCnMPvjO/black#58
72,154,154,00GRa,1r3rk1/2p1Nppb/p2nq3/1p2p1Pp/4Qn1P/2P1N3/PPB2P1K/3R2R1 b - - 5 28,e6e7 e4h7,602,98,95,397,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/QiJhfG8J/black#56
73,158,158,00GcF,6r1/1p1bRk2/p2q1n1r/3p4/3Q4/1P1B3P/P1P2PP1/4R1K1 b - - 4 27,d6e7 e1e7 f7e7 d4e3 e7f7 e3h6,1828,74,93,4649,advantage attraction exposedKing fork long middlegame,https://lichess.org/vZo2lFXq/black#54
74,159,159,00Gt0,R7/4k3/5p2/3p2p1/4b2p/2K1P2P/5PP1/8 w - - 2 47,f2f3 d5d4 c3d4 e4a8,1053,77,83,103,crushing discoveredAttack endgame master short,https://lichess.org/5OO7Wczb#93
82,182,182,00IaZ,4R3/1k2R3/3K2p1/1P6/1P6/2rp3r/8/8 b - - 3 45,b7b6 e8b8,926,83,83,423,endgame master mate mateIn1 oneMove rookEndgame,https://lichess.org/MA0bo8dV/black#90
83,183,183,00IiM,r5k1/pp4p1/1n6/3pB3/3P2pb/2NQ1r2/PP6/2K3R1 w - - 2 24,d3f3 g4f3 g1g7 g8f8,1696,74,92,1874,advantage middlegame short,https://lichess.org/qzEITbaG#47
87,212,212,00LH7,6k1/6Bp/6pP/3q1p2/p2PnQ2/2r5/P5PK/4R3 b - - 1 39,d5d6 e1e4 d6f4 e4f4,1565,76,96,4444,crushing endgame short,https://lichess.org/7mA63Gfs/black#78
88,215,215,00LNB,kr6/1pR4p/p4R2/n2r4/P3p3/4B3/6PP/6K1 b - - 0 38,d5d3 f6a6 b7a6 c7a7,1639,355,100,6,endgame mate mateIn2 sacrifice short,https://lichess.org/MQYDGoEM/black#76
92,221,221,00Lo9,5k2/8/4p3/3p2p1/p1pQ2P1/P1P2q2/1PB5/7K w - - 0 42,h1h2 f3e2 h2g3 e2c2,1384,256,100,7,endgame equality fork short,https://lichess.org/oAKhM88Y#83
98,228,228,00MGA,r3r1k1/6b1/p2Nn2p/1P1Qp3/6nq/2P5/1PB2PP1/R1B1R1K1 w - - 1 30,g2g3 h4h2 g1f1 h2f2,1085,75,97,311,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/dsGjft94#59
104,239,239,00NOI,3r4/2k2p1p/pp2pp2/2p5/3nN3/6P1/PPP2PRP/2K5 w - - 2 23,e4f6 d4e2 c1b1 d8d1,966,89,60,33,backRankMate endgame mate mateIn2 short,https://lichess.org/Z7mmtXNG#45
108,245,245,00O9a,1k3r2/q5r1/2Qp3p/N2Bp3/4P1p1/P7/1PP2PPP/R5K1 w - - 12 35,a5c4 a7f2 g1h1 f2f1 a1f1 f8f1,867,78,97,605,backRankMate long mate mateIn3 middlegame sacrifice,https://lichess.org/t6wbqTty#69
109,251,251,00Oft,3r4/p1pk1p1p/2pp1qr1/2b5/Q3P1b1/5NB1/P2N1PPP/R4RK1 w - - 2 16,g3h4 g4f3 d2f3 f6f3,1408,247,100,6,equality middlegame pin short,https://lichess.org/SpSdvvVa#31
113,256,256,00P6j,r2n2k1/1bRq1rpp/1p6/3P4/p3Q3/B3P3/PP3PPP/3R2K1 b - - 0 20,d7c7 e4e8 f7f8 e8f8,1339,76,84,535,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/vBpR18cI/black#40
115,258,258,00P81,6k1/5p2/4p2p/3pPP2/1R5P/7r/2B5/2b2K2 b - - 0 46,h3c3 b4b8 g8h7 f5e6 c3c2 e6e7,2286,73,95,3251,advancedPawn crushing discoveredAttack endgame long sacrifice,https://lichess.org/SIETCqbJ/black#92
116,259,259,00PGi,3r1q1k/pppb2pp/2np4/6N1/5B2/1Q4P1/PP4PP/4R2K b - - 11 24,b7b6 g5f7 f8f7 b3f7,1071,77,95,877,crushing fork middlegame short,https://lichess.org/qzZ4hC7X/black#48
123,279,279,00Rdf,2kr4/p1pr1pp1/1p4p1/1PP1P3/3B1PP1/PQ2Pn1P/2KRR3/5q2 w - - 1 30,c5b6 d7d4 e3d4 f3d4 c2b2 d4b3,1905,147,23,13,advantage exposedKing fork long middlegame,https://lichess.org/1DyqIpsd#59
124,283,283,00RwV,2r1r2k/ppq3pp/3b1p2/3Q3R/3P4/4B3/PP3PPP/R5K1 w - - 1 20,d5f5 c7c1 a1c1 c8c1 e3c1 e8e1,2047,74,94,5390,long mate mateIn3 middlegame sacrifice,https://lichess.org/QtHdcDHe#39
128,287,287,00STS,r4rk1/pppq2b1/2np3p/4p2b/B5p1/2PPQ2P/PP1N1P1B/R3NRK1 w - - 0 21,h3g4 d7g4 g1h1 g4a4,1520,77,95,12838,advantage fork middlegame short,https://lichess.org/gC9OswxQ#41
130,291,291,00Sz9,1r4k1/p4ppp/4p3/p5n1/4P3/1P1N1PPq/QB3b1P/R5K1 w - - 0 30,d3f2 g5f3 g1h1 h3h2,1021,81,95,392,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/mJ2prRw1#59
131,299,299,00Tge,8/5k2/8/1p1p2pN/1PpP1nP1/2P1KP2/8/8 b - - 10 58,f4h5 g4h5 f7g7 f3f4,1128,75,97,860,crushing endgame short,https://lichess.org/Jri9vZwO/black#116
136,309,309,00UV8,3r4/7p/p3nkp1/1b6/4P2P/1B2B3/P4KP1/8 b - - 1 38,e6d4 e3g5 f6e5 g5d8,1558,300,100,5,endgame equality short skewer,https://lichess.org/xzJR462D/black#76
137,310,310,00UZP,5r1k/ppQ3p1/6qp/5r2/3Pp1b1/2P5/P2B1PPP/R4R1K w - - 5 22,c7b7 f5f2 f1f2 f8f2,1501,281,100,7,crushing middlegame short,https://lichess.org/4HQMl1VG#43
139,314,314,00V0G,8/6P1/5k1K/8/8/3p4/PR6/6r1 w - - 1 49,b2d2 g1h1 d2h2 h1h2,1302,76,89,502,endgame mate mateIn2 rookEndgame short,https://lichess.org/UYjzL2st#97
143,330,330,00WiB,3q1rk1/4pp1p/p4Pp1/4p1P1/b1PpP2Q/3n3P/Pr2N1B1/R4RK1 b - - 1 22,b2e2 h4h6 e7f6 g5f6 d8f6 f1f6,1450,74,91,593,advantage long master middlegame,https://lichess.org/DU4WJjPm/black#44
144,336,336,00X2S,2kr4/1p4pp/p1p1b3/Q3Bq2/8/4PB2/1PP2PPP/1K6 b - - 2 24,g7g5 a5c7,1134,244,30,16,endgame mate mateIn1 oneMove,https://lichess.org/4JI17kTq/black#48
148,347,347,00Xr8,6k1/pp1n3p/2p1bppb/2q1p3/2P1P3/1PQN1PPP/PB4BK/8 b - - 5 25,c5e3 b2c1 e3d4 c3d4 e5d4 c1h6,1623,75,100,144,crushing long middlegame,https://lichess.org/mvexWrte/black#50
151,355,355,00Ygn,5rk1/p3Rp1p/5pp1/np1q4/r2P4/2P2N2/PQ3PPP/2R3K1 w - - 4 22,e7a7 a5c4 a7a4 c4b2,1349,354,100,1,crushing middlegame short,https://lichess.org/B6LsArpZ#43
160,384,384,00bgO,8/8/1p1nk3/p2N4/2P1p3/PP2K3/8/8 b - - 4 46,e6d7 d5b6 d7c6 b6a4,2422,76,80,137,crushing defensiveMove endgame knightEndgame short,https://lichess.org/kVsJ1quC/black#92
163,392,392,00cZE,4k3/5p2/3r4/pRp3Pp/2P1p3/6P1/1KP4P/8 w - - 0 31,b5c5 e4e3 g5g6 e8f8 c5a5 e3e2,2549,87,79,38,advancedPawn crushing endgame long rookEndgame,https://lichess.org/GXkr4U3u#61
164,398,398,00dUW,4k2r/1pb3pp/p4p2/2P1p2b/1PBn4/P3N1P1/3B1P1P/5RK1 w k - 3 23,e3d5 d4f3 g1g2 f3d2,1261,77,82,189,crushing fork middlegame short,https://lichess.org/RnKoYsGf#45
165,404,404,00e7H,8/7p/p1p4k/1p1p4/3Qpq2/2P2NpP/PP4K1/8 w - - 0 44,f3d2 c6c5 d4c5 f4d2,2031,76,94,5622,advantage deflection endgame master masterVsMaster short,https://lichess.org/DTE43D0V#87
171,430,430,00gcY,3r2k1/5ppp/b3p3/3q4/3r4/p2PQP1P/3R1NPK/R7 w - - 0 35,a1a3 d5d6 h2h1 d6a3,1487,78,68,62,crushing fork middlegame short,https://lichess.org/m6ztJedJ#69
173,439,439,00hSr,r4rk1/5p2/1q2pnRP/p2p4/1ppP4/2P1P3/PPQN1P2/2K4R b - - 0 21,f7g6 c2g6 g8h8 g6g7,1277,75,97,4071,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/FSHLYhgq/black#42
184,459,459,00jXD,3r2k1/p4pp1/1bN2q1p/8/Q3p3/P3P2P/5PP1/2R3K1 b - - 5 31,d8c8 c6e7 f6e7 c1c8,954,92,86,284,crushing discoveredAttack endgame short,https://lichess.org/JvQRcqwH/black#62
185,462,462,00k4u,r2b2r1/p2P1p2/1pNQ1p1k/6qp/5R2/P2B3P/1P3PP1/6K1 w - - 2 28,c6d8 g5g2,871,130,81,45,kingsideAttack master mate mateIn1 middlegame oneMove,https://lichess.org/wDp8QswW#55
193,483,483,00mRr,8/2Q2kpp/1p1p2r1/1PnN4/2P1n3/6P1/1r3PK1/8 b - - 6 41,f7e6 c7e7 e6f5 d5e3,1786,77,95,6143,endgame mate mateIn2 short,https://lichess.org/0dpg8xr1/black#82
197,501,501,00oSB,8/8/p1p5/1pKp3k/3P2p1/P1Q3P1/1Pq5/8 b - - 21 59,c2c3 b2c3 h5g6 c5c6,1187,76,86,137,crushing endgame short,https://lichess.org/tpQXCjFQ/black#118
198,505,505,00ofO,8/5kpp/2p2p2/P1Bpn3/1P6/7P/r4PP1/4R1K1 b - - 2 31,f7e6 f2f4 e6f5 f4e5,1472,75,94,454,crushing endgame short,https://lichess.org/Xbq1CCD6/black#62
203,519,519,00pmn,8/P6p/6p1/1k6/3pq3/1PP5/6PP/3Q2K1 w - - 0 35,d1d4 e4e1,982,82,95,1627,endgame mate mateIn1 oneMove queenEndgame,https://lichess.org/KY5B8aXb#69
207,534,534,00rIF,1r6/p7/1p3k1K/P2p2pR/2p5/2P3P1/2P3P1/1R6 w - - 3 36,h5g5 b8h8,683,93,100,90,endgame mate mateIn1 oneMove rookEndgame,https://lichess.org/aOqnitxA#71
210,537,537,00rYm,2r3k1/R4pp1/1p2p2p/1q2P3/3Pp3/1p2P2P/5QP1/6K1 b - - 1 34,b3b2 f2f7 g8h8 f7g7,1039,76,87,210,endgame mate mateIn2 short,https://lichess.org/qW5kfHMk/black#68
211,539,539,00rqm,2r2r1k/3b3n/p6q/1p1nN3/7P/3P2Q1/PPP2P2/1K4RR b - - 0 30,d7f5 g3g8 f8g8 e5f7,1761,93,100,60,kingsideAttack mate mateIn2 middlegame sacrifice short,https://lichess.org/v9qNACJc/black#60
212,540,540,00rx9,3k2q1/pp3pN1/2b5/2pp2Q1/6n1/3P1N2/PbP2PPP/5K2 b - - 3 26,b2f6 g7e6 d8e7 g5g8,1402,75,91,1359,crushing discoveredAttack middlegame short,https://lichess.org/i2mJkkQL/black#52
213,542,542,00s3U,r7/7p/1p1p1kp1/1P2p3/2BpPp2/2nP1P1P/1R3KP1/8 b - - 0 38,a8a2 b2a2 c3a2 c4a2,1878,76,85,345,advantage endgame short,https://lichess.org/SLPNDjCm/black#76
